影院名称,影院专资,所属城市
保利国际影城-北京北苑华贸店,11059201,北京
珠影耳东传奇影城（原传奇时代影城）,11051801,北京
博纳国际影城顺义店,11088801,北京
北京搜秀影城,11040401,北京
万达影城天通苑龙德广场店,11081301,北京
新影联·华谊兄弟影院（望京店）,11059401,北京
北京耀莱成龙影城（马连道店）,11026801,北京
北京博纳晶品国际影城,11069901,北京
大地影院（北京合生麒麟新天地店）,11056701,北京
米瑞酷激光影城（乔庄店）,11081701,北京
幸福蓝海国际影城门头沟店,11100571,北京
北京中影国际影城（东方新天地CINITY店）,11010301,北京
北京百老汇影城（apm店）,11010101,北京
天幕新彩云国际影城（激光巨幕店）,11060691,北京
北京K酷国际影城,11058301,北京
北京中影国际影城（国瑞城店）,11040501,北京
卢米埃IMAX影城（长楹天街杜比全景声激光店),11050741,北京
北京新华国际影城房山店,11080601,北京
博纳国际影城朝阳门IMAX店,11052101,北京
大地影院（北京米拉家园店）,11082201,北京
北京世纪东都影城,11051601,北京
金鸡百花影城(影协影院),11057601,北京
大地影院（北京垡头永辉店）,11050611,北京
北京星博正华影城,11078501,北京
完美世界影城（北京四道口店）,11068201,北京
海淀剧院,11060202,北京
大地影院（北京西三旗物美店）,11065701,北京
大地影院（北京十里河铭泽店）,11050621,北京
SFC上影影城（房山绿地缤纷店）,11110751,北京
通州区电影院,11070702,北京
今典花园影院,11020901,北京
北京大兴剧院,11081102,北京
北京地质礼堂影剧院,11020603,北京
保利国际影城中国科技馆店,11056601,北京
新影联国际影城（宝盛里店）,11062221,北京
北京星恒影院,11060721,北京
北京活力天宝国际影城,11057301,北京
嘉华国际影城（学清路店）,11066701,北京
北京金逸影城（荟聚IMAX激光店）,11140631,北京
保利万和影城(苹果园店),11090531,北京
沃美影城回龙观华联店（杜比全景声）,11010521,北京
沃美影城常营华联店（ALPD Pro高亮激光）,11057401,北京
博纳国际影城通州店,11089801,北京
星环影城立水桥店,11055301,北京
北京紫光影城,11050101,北京
北京中影国际影城（小西天CINITY店）,11060501,北京
CGV影城(清河IMAX店),11068701,北京
中间影院,11062101,北京
金逸影城（北京朝阳大悦城IMAX激光店）,11059301,北京
广安门电影院,11030401,北京
完美世界影城比如店（原17.5影城）,11056201,北京
北京中影国际影城（昌平永旺店）,11081601,北京
华美国际影城,11085901,北京
美嘉欢乐影城中关村店,11061501,北京
完美世界影城（北京管庄店）,11068901,北京
北京金逸影城北京中关村店,11061801,北京
